Timestamp,CPU_Total,CPU_0,CPU_1,CPU_2,CPU_3,UserPct,SystemPct,IdlePct,InterruptPct,DpcPct,CtxSwitches,Interrupts,SoftInterrupts,Syscalls,FreqCurrentMHz
2025-10-04 16:20:04,51.725,62.1,54.7,57.8,32.3,17.9,33.5,47.5,0.8,0.4,228165750,3254737651,0,2336826088,1209.0
2025-10-04 16:20:05,48.05,50.0,50.0,54.7,37.5,17.7,30.8,51.5,0.0,0.0,228219085,3254759645,0,2336928844,1209.0
2025-10-04 16:20:06,60.85,63.8,61.5,71.9,46.2,18.7,39.3,39.3,2.2,0.4,228296965,3254788082,0,2337050177,1209.0
2025-10-04 16:20:07,55.8,49.2,56.9,56.2,60.9,16.9,38.0,44.4,0.8,0.0,228352614,3254812105,0,2337273228,1209.0
2025-10-04 16:20:08,62.775,63.6,60.9,62.5,64.1,15.6,46.0,37.3,0.4,0.8,228422979,3254840769,0,2337486842,1209.0
2025-10-04 16:20:10,63.1,71.2,67.2,56.2,57.8,21.0,41.2,37.0,0.4,0.4,228486885,3254865783,0,2337692622,1209.0
2025-10-04 16:20:11,57.2,62.1,68.2,46.9,51.6,14.2,41.5,42.7,1.2,0.4,228542687,3254888631,0,2337899026,1209.0
2025-10-04 16:20:12,69.975,69.7,71.9,64.1,74.2,21.2,47.0,30.3,1.5,0.0,228641299,3254928696,0,2338105426,1209.0
2025-10-04 16:20:13,55.625,60.9,59.4,48.4,53.8,16.9,39.1,43.7,0.4,0.0,228696977,3254952716,0,2338305676,1209.0
2025-10-04 16:20:14,55.025,60.0,53.8,54.7,51.6,19.8,34.7,44.7,0.4,0.4,228758624,3254977027,0,2338526579,1209.0
