"(PDH-CSV 4.0) (","\\DESKTOP-8FOAVTD\Processor(0)\% Processor Time","\\DESKTOP-8FOAVTD\Processor(1)\% Processor Time","\\DESKTOP-8FOAVTD\Processor(2)\% Processor Time","\\DESKTOP-8FOAVTD\Processor(3)\% Processor Time","\\DESKTOP-8FOAVTD\Processor(_Total)\% Processor Time","\\DESKTOP-8FOAVTD\Processor(0)\% User Time","\\DESKTOP-8FOAVTD\Processor(1)\% User Time","\\DESKTOP-8FOAVTD\Processor(2)\% User Time","\\DESKTOP-8FOAVTD\Processor(3)\% User Time","\\DESKTOP-8FOAVTD\Processor(_Total)\% User Time"
"11/24/2023 21:06:15.046"," "," "," "," "," "," "," "," "," "," "
"11/24/2023 21:06:16.066","89.274371912122319372","80.080976408227158458","89.274371912122319372","93.871069664069892724","88.125192570991146113","44.434744935493256435","52.09590785540589053","59.757070775318510414","58.2248381913359907","53.628140439388403138"
"11/24/2023 21:06:17.101","87.928489142255415345","87.928489142255415345","90.946366856691568614","95.473183428345777202","90.569136970991380053","52.812860002632554313","54.321798859850623842","55.830737717068700476","60.357554288722923275","55.830737717068700476"
"11/24/2023 21:06:18.135","69.770198368441981529","71.281688450019885295","65.235728123708284443","68.258708286864091974","68.636575970490298459","33.252781794713818897","31.741291713135915131","42.321722284181220175","37.787252039447523089","36.275761957869619323"
"11/24/2023 21:06:19.146","21.120783222243353805","7.2009214379333492673","14.934177984772246006","10.294224056668909384","13.387526675404458842","10.826559165574442645","6.1866052374711095752","7.7332565468388878571","3.0933026187355547876","6.9599308921549987161"
"11/24/2023 21:06:20.163","10.950639386691873867","4.8093041719809654921","7.8799717793364258966","4.8093041719809654921","7.1123048774975554664","1.5353338036777262054","3.0706676073554524109","6.1413352147109048218","3.0706676073554524109","3.454496145206712665"
"11/24/2023 21:06:21.178","75.356228185949277076","78.436699662705620995","78.436699662705620995","76.896463924327449035","77.281527787676367325","40.046129197832414093","46.207072151345087718","44.666836412966922865","36.965657721076070175","41.97142879955949013"
"11/24/2023 21:06:22.191","24.414905967947277077","22.872353028517633078","22.872353028517633078","36.75532948338445749","26.728735377091751957","12.340423515437178636","20.053188212585414618","18.510635273155767067","29.308505849163303481","20.053188212585414618"
"11/24/2023 21:06:23.204","16.733008870858157024","25.984896774096132077","46.030653897778428529","55.28254180101641424","36.007775335937289185","10.793869220444312518","24.671701075301289308","40.091514247364592904","53.969346102221571471","32.381607661332942882"
"11/24/2023 21:06:24.215","78.362215036554246694","82.998883243006915222","89.181107518277130453","96.908887862364892385","86.862773415050796189","58.731130615067016265","60.276686683884570073","64.913354890337231495","83.460027716147862975","66.845295030579748641"
"11/24/2023 21:06:25.221","67.386021288417396136","65.832974683103941516","84.469533946865425378","98.44695339468654538","79.033870828268319997","60.568817607224822552","55.909677791284451587","85.417563292240146211","99.394982740061237791","75.322760357702662759"
"11/24/2023 21:06:26.232","21.206117183795146985","30.475985750407474484","41.290832411455205886","66.010481922421433865","39.74585431701981264","20.0847152276600589","26.264627605401617672","37.079474266449345521","63.344101871850966745","36.69323468677039557"
"11/24/2023 21:06:27.244","11.986480332801541238","16.61877084160146012","16.61877084160146012","36.692029713067775276","20.479012932268059188","6.1763873450665585096","12.352774690133117019","10.808677853866477392","32.426033561599432176","15.440968362666396274"
"11/24/2023 21:06:28.253","73.661054434382734257","75.210404173536687722","75.210404173536687722","87.605202086768343861","77.921761259136943067","44.931142435464749951","44.931142435464749951","48.029841913772663986","72.819437740235969159","52.677891131234531485"
"11/24/2023 21:06:29.265","28.995753476812456739","16.647188864084196069","19.734330017266255908","24.365041747039363429","22.43558346572640616","9.2614234595462008315","6.1742823063641338877","12.348564612728267775","9.2614234595462008315","9.2614234595462008315"
"11/24/2023 21:06:30.289","80.169833115173034344","72.542845851778039901","84.746025473210011114","78.644435662494032613","79.025780144391916338","41.185731222332947254","33.558743958937959917","33.558743958937959917","39.660333769653952629","36.990883346193861314"
"11/24/2023 21:06:31.716","100","100","98.904308741884179312","100","99.726080691683065993","49.306106615212300426","52.59318038955979091","51.497489131443963117","62.454401712602248153","53.96279796841659504"
"11/24/2023 21:06:32.850","100","100","100","100","100","56.488255336701740816","61.999304637843380306","63.377066963128790178","57.866017661987157794","59.93266114991526905"
"11/24/2023 21:06:33.981","98.618449538747825045","94.47379815499130018","98.618449538747825045","93.092247693739125225","96.200731810595044635","49.735816605078255748","75.985275368869551471","70.459073523860865862","85.656128597634776156","70.459073523860865862"
"11/24/2023 21:06:35.540","72.948218128384127112","76.955889516771662784","76.955889516771662784","76.955889516771662784","75.953971669674771761","31.05945326000342277","36.069042495487842359","35.067124648390958441","31.05945326000342277","33.313765209834301118"
"11/24/2023 21:06:36.568","39.216684932458065305","25.540439042261130709","39.216684932458065305","33.138353425703868993","34.278045445885481968","12.156663013508387294","12.156663013508387294","18.234994520262578277","19.754577396951127355","15.575729348722825662"
"11/24/2023 21:06:37.583","30.730982335895607349","13.79855579578119773","18.416490306721488679","18.416490306721488679","20.340624760483127176","6.1572460145870575587","6.1572460145870575587","12.314492029174115117","6.1572460145870575587","7.6965575182338223925"
"11/24/2023 21:06:38.609","89.340432239990605012","90.863227634277663469","90.863227634277663469","89.340432239990605012","90.101829937134141346","33.50149867431524342","45.683861828611696865","60.911815771482260118","57.866224982908143204","49.490850314329328796"
"11/24/2023 21:06:39.633","71.026231130207804654","66.451425519187978352","64.926490315514712393","64.926490315514712393","66.832664199898943025","30.498704073465471964","28.973768869792198899","39.648315295505113909","47.272991313871479235","36.598444888158567778"
